iter	RMSE
0	7.400872897
1	6.927795176
2	6.513978211
3	6.161010407
4	5.802283606
5	5.513322172
6	5.260148026
7	5.032730804
8	4.827085662
9	4.64927738
10	4.4944094
11	4.361097788
12	4.24318677
13	4.128763403
14	4.018531223
15	3.932648611
16	3.861795289
17	3.774364574
18	3.706469771
19	3.668563942
20	3.614083489
21	3.545768689
22	3.487498867
23	3.452888169
24	3.385623179
25	3.351821784
26	3.321384975
27	3.282757575
28	3.253005409
29	3.202269545
30	3.162479403
31	3.127594869
32	3.079333988
33	3.044232651
34	3.037628274
35	3.014022674
36	2.988975658
37	2.951871122
38	2.928022215
39	2.905562072
40	2.881252102
41	2.844987369
42	2.823340957
43	2.809353552
44	2.79485109
45	2.786824209
46	2.749150792
47	2.744092587
48	2.731962912
49	2.707149384
