iter	Passed	Remaining
0	5	275
1	15	381
2	26	416
3	29	341
4	40	362
5	50	371
6	51	314
7	52	277
8	55	254
9	56	227
10	67	238
11	77	245
12	87	250
13	98	253
14	108	254
15	114	243
16	119	232
17	130	231
18	140	229
19	141	212
20	186	257
21	198	253
22	210	247
23	222	240
24	233	233
25	234	216
26	245	209
27	256	201
28	267	194
29	279	186
30	289	177
31	300	169
32	311	160
33	322	151
34	323	138
35	334	129
36	345	121
37	356	112
38	361	102
39	372	93
40	383	84
41	394	75
42	400	65
43	411	56
44	421	46
45	422	36
46	433	27
47	434	18
48	445	9
49	456	0
